Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
Acceptable PM2.5 AQI & Speciation Mass,88502,753,Continuous,Andersen BAM w/PM2.5 VSCC,Beta Attenuation,,,,-10,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,760,Continuous,PM2.5 SCC,FDMS-Gravimetric,,,,0.06,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,761,Continuous,PM2.5 VSCC,FDMS-Gravimetric,,,,0.06,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,771,Continuous,Correlated Radiance Research M903 With Heated Inlet,Nephelometry,,,,0.4,-0.4,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,781,Intermittent,SINGLE-FILTR WINS 2.5UM IMPACT,GRAVIMETRIC,,,,2,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,783,Intermittent,SEQUENT SAMPLR WINS 2.5UM IMP,GRAVIMETRIC,,,,2,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,785,Intermittent,DICHOTOMOUS APPROVED PM10 REFR,GRAVIMETRIC,,,,2,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,787,Continuous,AUTOMATED WINS 2.5UM IMPACTOR,BETA GUAGE,,,,-10,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,789,Continuous,AUTOMATED WINS 2.5UM IMPACTOR,TEOM-GRAVIMETRIC,,,,-10,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,790,Continuous,Virtual Impactor,FDMS-Gravimetric 1405-DF,,,,-10,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,791,Continuous,OTHR AUTOMATD 2.5 MASS CONCENT,SURROGATE MEASURE,,,,-10,-10,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,792,Continuous,Virtual Impactor,Gravimetric 1405-D,,,,-10,,,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,793,Intermittent,OTHER 24HR FILTER BASED SAMPLER,GRAVIMETRIC,,,,2,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,810,Intermittent,Met One SASS Teflon,Gravimetric,,,,0.104,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,812,Continuous,Correlated Ecotech M9003/ Aurora,Nephelometry,,,,0.4,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,820,Intermittent,Andersen RAAS Teflon,Gravimetric,,,,0.04,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,830,Intermittent,URG MASS400 Teflon WINS,Gravimetric,,,,0.04,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,850,Intermittent,R&P MDL2300 PM2.5 SEQ SPEC,GRAVIMETRIC,,,,0.04,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,870,Intermittent,URG MASS400 Teflon VSCC,Gravimetric,,,,0.04,,5000,1,T,Micrograms/cubic meter (LC)
Acceptable PM2.5 AQI & Speciation Mass,88502,899,Intermittent,No Method-None,None,,,,0.002,,,1,T,Micrograms/cubic meter (LC)
Acenaphthene (TSP) STP,17147,101,Intermittent,HI-VOL/PUF-XAD,GC-MS-SIM,,,,0.02,0,,2,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,102,Intermittent,HI-VOL/PUF CARTRIDGE,TO-13- EPA610- EPA625,,,,0.1,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,105,Intermittent,Hi Vol/PUF,GC/MS TO-13A,,,,0.3,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,106,Intermittent,HI-Vol/PUF & XAD-2,TO-13- EPA610- EPA625,,,,0.3,0,,2,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,116,Intermittent,Hi Vol/XAD-2,GC/MS,,,,23.4,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,117,Intermittent,Hi Vol/PUF,GCMS TO-13,,,,0.0001,0,,5,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,118,Intermittent,Hi Vol/PUF-XAD-2,GCMS TO-13,,,,0.0429,0,,4,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,119,Intermittent,Hi Vol/PUF-XAD-2,GCMS-SIM Modified TO-13A,,,,0.0429,0,,4,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,904,Intermittent,SKC Pump XAD-2 SORBENT Tube,HPLC Fluorescence/UV NIOSH 5506,,,,1390,,,0,R,Nanograms/cubic meter (25 C)
Acenaphthene (TSP) STP,17147,909,Intermittent,SKC Pump XAD-2 SORBENT Tube,GC/MS NIOSH 5515 REAC SOP 1817,,,,4200,,,0,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,101,Intermittent,HI-VOL/PUF-XAD,GC-MS-SIM,,,,0.02,0,,2,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,102,Intermittent,HI-VOL/PUF CARTRIDGE,TO-13- EPA610- EPA625,,,,0.1,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,105,Intermittent,Hi Vol/PUF,GC/MS TO-13A,,,,0.3,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,106,Intermittent,HI-Vol/PUF & XAD-2,TO-13- EPA610- EPA625,,,,0.3,0,,2,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,116,Intermittent,Hi Vol/XAD-2,GC/MS,,,,21.6,0,,1,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,117,Intermittent,Hi Vol/PUF,GCMS TO-13,,,,0.00063,0,,5,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,118,Intermittent,Hi Vol/PUF-XAD-2,GCMS TO-13,,,,0.0383,0,,4,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,119,Intermittent,Hi Vol/PUF-XAD-2,GCMS-SIM Modified TO-13A,,,,0.0383,0,,4,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,904,Intermittent,SKC Pump XAD-2 SORBENT Tube,HPLC Fluorescence/UV NIOSH 5506,,,,1740,,,0,R,Nanograms/cubic meter (25 C)
Acenaphthylene (TSP) STP,17148,909,Intermittent,SKC Pump XAD-2 SORBENT Tube,GC/MS NIOSH 5515 REAC SOP 1817,,,,4200,,,0,R,Nanograms/cubic meter (25 C)
Acetaldehyde,43503,91,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,102,Intermittent,CARTRIDGE-DNPH-ON-SILICA,HPLC ULTRAVIOLET ABSORPTION,,,,0.6,-0.6,,1,R,Parts per billion Carbon
Acetaldehyde,43503,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetaldehyde,43503,114,Intermittent,CARTRIDGE-DNPH-SILICA-SEP-PAK,HPLC-PHOTODIODE ARRAY,,,,0.085,-0.085,,2,R,Parts per billion Carbon
Acetaldehyde,43503,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,29.4,-29.4,,1,R,Parts per billion Carbon
Acetaldehyde,43503,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetaldehyde,43503,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetaldehyde,43503,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,3,R,Parts per billion Carbon
Acetaldehyde,43503,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetaldehyde,43503,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
Acetaldehyde,43503,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,140,Continuous,UV Spectrometer with URS methods,Spectra reference matching via PLS,,,,20,-20,,0,R,Parts per billion Carbon
Acetaldehyde,43503,141,Continuous,IR Spectrometer,Spectra reference matching with PLS,,,,11.2,-11.2,,1,R,Parts per billion Carbon
Acetaldehyde,43503,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetaldehyde,43503,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,156,Intermittent,"Cartridge DNPH on Silica, Heated O3 Denuder",HPLC Photo Diode Array,,,,0.208,-0.208,,1,R,Parts per billion Carbon
Acetaldehyde,43503,157,Continuous,Instrumental Open Path,UV OPSIS Model AR 500,,,,2,-2,,1,R,Parts per billion Carbon
Acetaldehyde,43503,165,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,HP LC-1050 W/DIODE ARRAY DETECTOR,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acetaldehyde,43503,166,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,TO-11 DIONEX DX-300 ION CHRMTGRAPH,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acetaldehyde,43503,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,179,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,Liquid Chromatography  w/diode array detection,,,,0.06,-0.06,,2,R,Parts per billion Carbon
Acetaldehyde,43503,202,Intermittent,SILICA-DNPH-CART-KI O3 SCRUB,HPLC ULTRAVIOLET ABSORPTION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetaldehyde,43503,203,Intermittent,C18-DNPH-CARTRIDGE,HPLC ULTRAVIOLET ABSORPTION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,91,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,102,Intermittent,DNPH-COATED CARTRIDGES,HPLC (TO-14),,,,0.042,-0.042,,1,R,Parts per billion Carbon
Acetone,43551,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetone,43551,113,Intermittent,SS-Canister_Pressurized,Capillary GC ITD Mass Spectro,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acetone,43551,114,Intermittent,CARTRIDGE-DNPH-SILICA-SEP-PAK,HPLC-PHOTODIODE ARRAY,,,,0.085,-0.085,,2,R,Parts per billion Carbon
Acetone,43551,119,Intermittent,PERSONAL PUMP MOLECULAR SIEVE,GC/MS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetone,43551,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetone,43551,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetone,43551,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,2,R,Parts per billion Carbon
Acetone,43551,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetone,43551,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
Acetone,43551,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,130,Intermittent,DNPH-COATED CARTRIDGE,HPLC (TO-14),,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetone,43551,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,4.21,-4.21,,2,R,Parts per billion Carbon
Acetone,43551,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
Acetone,43551,156,Intermittent,"Cartridge DNPH on Silica, Heated O3 Denuder",HPLC Photo Diode Array,,,,0.243,-0.243,,1,R,Parts per billion Carbon
Acetone,43551,165,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,HP LC-1050 W/DIODE ARRAY DETECTOR,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acetone,43551,166,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,TO-11 DIONEX DX-300 ION CHRMTGRAPH,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acetone,43551,171,Intermittent,6L Pressurized Canister,Precon Saturn GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetone,43551,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetone,43551,176,Intermittent,6L Subatm SS Canister,Entech Precon GC/MS,,,,0.195,-0.195,,3,R,Parts per billion Carbon
Acetone,43551,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,179,Intermittent,ATEC 2400 W/WATERS SILICA DNPH,Liquid Chromatography  w/diode array detection,,,,0.42,-0.42,,2,R,Parts per billion Carbon
Acetone,43551,202,Intermittent,SILICA-DNPH-CART-KI O3 SCRUB,HPLC ULTRAVIOLET ABSORPTION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,203,Intermittent,C18 DNPH CARTRIDGE,HPLC ULTRAVIOLET ABSORPTION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetone,43551,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.02,-0.02,,3,R,Parts per billion Carbon
Acetonitrile,43702,101,Intermittent,Canister Subambient Pressure,Multi Detector GC,,,,0.21,-0.21,,2,R,Parts per billion Carbon
Acetonitrile,43702,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetonitrile,43702,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetonitrile,43702,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
Acetonitrile,43702,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetonitrile,43702,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetonitrile,43702,136,Continuous,Instrumental,ENTECH 2000 W/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetonitrile,43702,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.21,-0.21,,2,R,Parts per billion Carbon
Acetonitrile,43702,150,Intermittent,SS 6L - PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetonitrile,43702,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
Acetonitrile,43702,171,Intermittent,6L Pressurized Canister,Precon Saturn GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetonitrile,43702,172,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetonitrile,43702,176,Intermittent,6L Pressurized Canister,Precon HP GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetonitrile,43702,210,Intermittent,SS 6L Pressurized Canister,Cryogenic Precon GC/MS,,,,0.08,-0.08,,3,R,Parts per billion Carbon
Acetonitrile,43702,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.5,-0.5,,2,R,Parts per billion Carbon
Acetophenone,43565,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,34.3,-34.3,,1,R,Parts per billion Carbon
Acetophenone  (TSP) STP,16762,116,Intermittent,Hi Vol/XAD-2,GC/MS,,,,34.3,0,,1,R,Nanograms/cubic meter (25 C)
Acetophenone  (TSP) STP,16762,117,Intermittent,Hi Vol/PUF,GCMS TO-13,,,,0.00014,0,,5,R,Nanograms/cubic meter (25 C)
Acetylene,43206,11,Continuous,INSTRUMENTAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,91,Continuous,MANUAL,FLAME IONIZAITON,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetylene,43206,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetylene,43206,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
Acetylene,43206,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,1,R,Parts per billion Carbon
Acetylene,43206,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetylene,43206,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.1,,,2,R,Parts per billion Carbon
Acetylene,43206,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.07337,-0.07337,,4,R,Parts per billion Carbon
Acetylene,43206,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,153,Intermittent,Pressurized Canister,GC with Multiple Detectors,,,,0.2,-0.2,,2,R,Parts per billion Carbon
Acetylene,43206,174,Continuous,Passivated Canister,Cryogenic Preconcentration GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetylene,43206,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acetylene,43206,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acetylene,43206,211,Intermittent,SS Canister Subambient Pressure,Gas Chromatograph Mass Spectro,,,,0.2,-0.2,,2,R,Parts per billion Carbon
Acidity (precip),65330,13,Intermittent,ANDERSON RAINFALL BUCKET,TITRATION,,,,0.5,0,,2,R,Milligrams/liter as CACO3
Acidity (precip),65330,81,Intermittent,PRECIP,ALKALINE TITRATION,,,,0.01,0,,2,R,Milligrams/liter as CACO3
Acrolein ,99999,1,Intermittent,Test Method,Test Analysis,,,,0.1,,,1,,Micrograms/cubic meter (25 C)
Acrolein - Unverified,43505,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,102,Intermittent,CARTRIDGE-DNPH-ON-SILICA,HPLC ULTRAVIOLET ABSORPTION,,,,0.6,-0.6,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,106,Intermittent,CHARCOAL-TUBE-PERSONAL-PUMP,CARBON DISULFIDE DESORPTION GC-FID,,,,1.2,-1.2,,1,R,Parts per billion Carbon
Acrolein - Unverified,43505,109,Intermittent,SS-CANISTER-SUBAMBIENT-PRESURE,GAS CHROMATOGRAPH MASS SELECTIV DET,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,110,Intermittent,SS-CANISTER-PRESSURIZED,GAS CHROMATOGRAPH MASS SPECTRO,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,113,Intermittent,SS-Canister_Pressurized,Capillary GC ITD Mass Spectro,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,114,Intermittent,CARTRIDGE-DNPH-SILICA-SEP-PAK,HPLC-PHOTODIODE ARRAY,,,,0.03,-0.03,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,116,Intermittent,MIXED SORBENT CARTRIDGE,GC/MS,,,,0.32,-0.32,,3,R,Parts per billion Carbon
Acrolein - Unverified,43505,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acrolein - Unverified,43505,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acrolein - Unverified,43505,136,Intermittent,6L Pressurized Canister,Entech Precon w/Agilent GC/MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acrolein - Unverified,43505,145,Intermittent,"6 L SS Canister Subamb press, passive coll",GC/Mass Spectro,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
Acrolein - Unverified,43505,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
Acrolein - Unverified,43505,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
